Date,Sentiment
2019-07-01,0.15468253968253967
2019-07-02,-0.017333333333333336
2019-07-08,0.15
2019-07-09,0.18
2019-07-10,0.125
2019-07-11,0.1375
2019-07-12,0.025
2019-07-15,0.03333333333333333
2019-07-16,-0.075
2019-07-17,0.09999999999999999
2019-07-18,0.0022817460317460284
2019-07-19,-0.12361111111111107
2019-07-22,-0.03650793650793651
2019-07-23,0.21666666666666665
2019-07-24,0.06625
2019-07-25,0.0
2019-07-29,0.12000000000000002
2019-07-30,0.029999999999999992
2019-07-31,0.1590909090909091
2019-08-01,0.02727272727272727
2019-08-02,0.5
2019-08-05,0.175
2019-08-06,-0.02
2019-08-07,0.04270833333333333
2019-08-08,0.03749999999999999
2019-08-09,1.0
2019-08-12,0.18333333333333335
2019-08-13,0.04807256235827665
2019-08-14,-0.19375
2019-08-15,0.09999999999999999
2019-08-16,0.0
2019-08-19,0.16964285714285715
2019-08-20,-6.938893903907228e-18
2019-08-21,0.26666666666666666
2019-08-22,0.25
2019-08-26,0.09305555555555556
2019-08-27,-0.1513888888888889
2019-08-28,0.07777777777777777
2019-08-30,0.15000000000000002
2019-09-03,-0.025
2019-09-05,0.15
2019-09-06,0.041874999999999996
2019-09-09,-0.1670138888888889
2019-09-10,0.10000000000000003
2019-09-11,-0.057727272727272724
2019-09-12,0.2619047619047619
2019-09-13,-0.08750000000000001
2019-09-15,0.1481818181818182
2019-09-16,-0.11541666666666665
2019-09-17,-0.12469696969696968
2019-09-18,-0.03840909090909091
2019-09-19,-0.08353174603174603
2019-09-20,-0.1125
2019-09-21,0.05
2019-09-23,-0.1125
2019-09-24,-0.03977272727272727
2019-09-25,-0.16142857142857142
2019-09-26,-0.00588151927437642
2019-09-27,-0.09517045454545456
2019-09-29,-0.25
2019-09-30,0.0
2019-10-01,0.030833333333333334
2019-10-02,-0.18395061728395065
2019-10-03,-0.24150883838383835
2019-10-04,-0.1053030303030303
2019-10-07,0.14305555555555555
2019-10-08,-0.06375000000000001
2019-10-09,-0.1534090909090909
2019-10-10,-0.16375
2019-10-11,0.05499999999999998
2019-10-14,0.0
2019-10-16,-0.012499999999999989
2019-10-17,-0.27499999999999997
2019-10-18,0.22916666666666666
2019-10-21,-0.23125
2019-10-22,-0.050667388167388173
2019-10-23,-0.08051948051948052
2019-10-24,0.09999999999999999
2019-10-25,-0.0030864197530864274
2019-10-28,0.3288888888888889
2019-10-29,-0.011553030303030306
2019-10-30,-0.015277777777777774
2019-10-31,0.09999999999999999
2019-11-01,-0.14047619047619048
2019-11-04,0.025892857142857165
2019-11-05,0.02261904761904762
2019-11-06,-0.215
2019-11-07,-0.10803030303030303
2019-11-08,-0.08149350649350648
2019-11-10,0.13636363636363635
2019-11-11,-0.1983333333333333
2019-11-12,0.08333333333333333
2019-11-13,-0.21000000000000002
2019-11-14,-0.03214285714285714
2019-11-15,-0.20000000000000004
2019-11-18,0.043888888888888866
2019-11-19,-0.18125
2019-11-20,-0.075
2019-11-21,-0.06666666666666667
2019-11-22,0.02129629629629629
2019-11-25,-0.09999999999999999
2019-11-26,-0.19
2019-11-27,0.11624579124579125
2019-12-02,0.03500000000000001
2019-12-03,0.03749999999999999
2019-12-04,-0.1461111111111111
2019-12-05,-0.25
2019-12-06,-0.01499999999999999
2019-12-09,-0.07499999999999998
2019-12-10,-0.08249999999999999
2019-12-11,-0.095
2019-12-12,0.009413580246913578
2019-12-13,-0.16499999999999998
2019-12-16,-0.125
2019-12-17,0.21666666666666665
2019-12-18,-0.14166666666666666
2019-12-19,-0.11626984126984127
2019-12-20,0.018055555555555547
2019-12-23,0.175
2019-12-25,0.4
2019-12-26,-0.3
2019-12-27,0.125
2019-12-30,0.0
2019-12-31,0.359375
2020-01-02,-0.10625000000000001
2020-01-03,0.15768097643097642
2020-01-06,-0.2041666666666667
2020-01-07,-0.0617739898989899
2020-01-08,0.06231060606060606
2020-01-09,-0.039962121212121206
2020-01-10,0.196875
2020-01-13,-0.31712962962962965
2020-01-14,-0.08583333333333333
2020-01-15,-0.0625
2020-01-16,0.07999999999999999
2020-01-17,0.0058333333333333345
2020-01-21,-0.17857142857142855
2020-01-22,-0.015833333333333345
2020-01-23,-0.15785714285714286
2020-01-24,-0.05312499999999999
2020-01-27,-0.11642857142857144
2020-01-28,0.010113636363636361
2020-01-29,-0.049999999999999996
2020-01-30,-0.14750000000000002
2020-01-31,-0.11562499999999999
2020-02-03,-0.11499999999999999
2020-02-04,-0.13333333333333333
2020-02-05,-0.20625
2020-02-06,-0.09861111111111114
2020-02-07,-0.15416666666666667
2020-02-08,-0.625
2020-02-10,-0.08125
2020-02-11,-0.2095138888888889
2020-02-12,-0.09791666666666667
2020-02-13,-0.10541666666666669
2020-02-14,-0.0062500000000000056
2020-02-15,0.0
2020-02-18,-0.15833333333333333
2020-02-19,-0.24583333333333335
2020-02-20,-0.04111111111111111
2020-02-21,0.0013888888888889024
2020-02-23,0.0
2020-02-24,-0.13749999999999998
2020-02-25,-0.185
2020-02-26,0.050000000000000024
2020-02-27,-0.26071428571428573
2020-02-28,-0.1791666666666667
2020-03-02,-0.18352272727272725
2020-03-03,-0.13749999999999998
2020-03-04,-0.065
2020-03-05,-0.23124999999999998
2020-03-06,-0.08958333333333333
2020-03-09,-0.025
2020-03-10,-0.03712962962962963
2020-03-11,-0.21130952380952378
2020-03-12,0.025
2020-03-13,-0.10886363636363636
2020-03-14,-0.16666666666666666
2020-03-15,0.06818181818181818
2020-03-16,-0.0035143097643097697
2020-03-17,0.265
2020-03-18,-0.04
