Date, Open, High, Low, Close
07/17/23, 4508.86, 4532.85, 4504.90, 4522.79
07/14/23, 4514.61, 4527.76, 4499.56, 4505.42
07/13/23, 4491.50, 4517.38, 4489.36, 4510.04
07/12/23, 4467.69, 4488.34, 4463.23, 4472.16
07/11/23, 4415.55, 4443.64, 4408.46, 4439.26
07/10/23, 4394.23, 4412.60, 4389.92, 4409.53
07/07/23, 4404.54, 4440.39, 4397.40, 4398.95
07/06/23, 4422.62, 4422.62, 4385.05, 4411.59
07/05/23, 4442.04, 4454.06, 4436.61, 4446.82
07/03/23, 4449.45, 4456.46, 4442.29, 4455.59
06/30/23, 4422.44, 4458.48, 4422.44, 4450.38
06/29/23, 4374.94, 4398.39, 4371.97, 4396.44
06/28/23, 4367.48, 4390.35, 4360.22, 4376.86
06/27/23, 4337.36, 4384.42, 4335.00, 4378.41
06/26/23, 4344.84, 4362.06, 4328.08, 4328.82
06/23/23, 4354.17, 4366.55, 4341.34, 4348.33
06/22/23, 4355.40, 4382.25, 4351.82, 4381.89
06/21/23, 4380.01, 4386.22, 4360.14, 4365.69
06/20/23, 4396.11, 4400.15, 4367.19, 4388.71
06/16/23, 4442.70, 4448.47, 4407.44, 4409.59
06/15/23, 4365.33, 4439.20, 4362.60, 4425.84
06/14/23, 4366.29, 4391.82, 4337.85, 4372.59
06/13/23, 4352.61, 4375.37, 4349.31, 4369.01
06/12/23, 4308.32, 4340.13, 4304.37, 4338.93
06/09/23, 4304.88, 4322.62, 4291.70, 4298.86
06/08/23, 4268.69, 4298.01, 4261.07, 4293.93
06/07/23, 4285.47, 4299.19, 4263.96, 4267.52
06/06/23, 4271.34, 4288.33, 4263.09, 4283.85
06/05/23, 4282.99, 4299.28, 4266.82, 4273.79
06/02/23, 4241.01, 4290.67, 4241.01, 4282.37
06/01/23, 4183.03, 4232.43, 4171.64, 4221.02
05/31/23, 4190.74, 4195.44, 4166.15, 4179.83
05/30/23, 4226.71, 4231.10, 4192.18, 4205.52
05/26/23, 4155.98, 4212.87, 4156.16, 4205.45
05/25/23, 4155.71, 4165.74, 4129.73, 4151.28
05/24/23, 4132.96, 4132.96, 4103.98, 4115.24
05/23/23, 4176.80, 4185.68, 4142.54, 4145.58
05/22/23, 4190.78, 4209.22, 4179.68, 4192.63
05/19/23, 4204.15, 4212.91, 4180.20, 4191.98
05/18/23, 4157.68, 4202.20, 4153.50, 4198.05
05/17/23, 4122.85, 4164.67, 4113.62, 4158.77
05/16/23, 4127.95, 4135.54, 4109.86, 4109.90
05/15/23, 4126.65, 4141.25, 4110.27, 4136.28
05/12/23, 4138.54, 4143.74, 4099.12, 4124.08
05/11/23, 4132.24, 4132.80, 4109.29, 4130.62
05/10/23, 4143.74, 4154.28, 4098.92, 4137.64
05/09/23, 4124.25, 4130.35, 4116.65, 4119.17
05/08/23, 4136.98, 4142.30, 4123.81, 4138.12
05/05/23, 4084.73, 4147.02, 4084.73, 4136.25
05/04/23, 4082.55, 4082.61, 4048.28, 4061.22
05/03/23, 4122.25, 4148.30, 4088.86, 4090.75
05/02/23, 4164.10, 4164.10, 4089.72, 4119.58
05/01/23, 4166.79, 4186.92, 4164.12, 4167.87
04/28/23, 4129.63, 4170.06, 4127.18, 4169.48
04/27/23, 4075.29, 4138.24, 4075.29, 4135.35
04/26/23, 4087.78, 4089.67, 4049.35, 4055.99
04/25/23, 4126.43, 4126.43, 4071.38, 4071.63
04/24/23, 4132.07, 4142.41, 4117.77, 4137.04
04/21/23, 4132.14, 4138.02, 4113.86, 4133.52
04/20/23, 4130.48, 4148.57, 4114.57, 4129.79
04/19/23, 4139.33, 4162.57, 4134.49, 4154.52
04/18/23, 4164.26, 4169.48, 4140.36, 4154.87
04/17/23, 4137.17, 4151.72, 4123.18, 4151.32
04/14/23, 4140.11, 4163.19, 4113.20, 4137.64
04/13/23, 4100.04, 4150.26, 4099.40, 4146.22
04/12/23, 4121.72, 4134.37, 4086.94, 4091.95
04/11/23, 4110.29, 4124.26, 4102.61, 4108.94
04/10/23, 4085.20, 4109.50, 4072.55, 4109.11
04/06/23, 4081.58, 4107.32, 4069.84, 4105.02
04/05/23, 4094.50, 4099.69, 4072.56, 4090.38
04/04/23, 4128.03, 4133.13, 4086.87, 4100.60
04/03/23, 4102.20, 4127.66, 4098.79, 4124.51
03/31/23, 4056.18, 4110.75, 4056.18, 4109.31
03/30/23, 4046.74, 4057.85, 4032.10, 4050.83
03/29/23, 3999.53, 4030.59, 3999.53, 4027.81
03/28/23, 3974.13, 3979.20, 3951.53, 3971.27
03/27/23, 3982.93, 4003.83, 3970.49, 3977.53
03/24/23, 3939.21, 3972.74, 3909.16, 3970.99
03/23/23, 3959.21, 4007.66, 3919.05, 3948.72
03/22/23, 4002.04, 4039.49, 3936.17, 3936.97
03/21/23, 3975.89, 4009.08, 3971.19, 4002.87
03/20/23, 3917.47, 3956.62, 3916.89, 3951.57
03/17/23, 3958.69, 3958.91, 3901.27, 3916.64
03/16/23, 3878.93, 3964.46, 3864.11, 3960.28
03/15/23, 3876.74, 3894.26, 3838.24, 3891.93
03/14/23, 3894.01, 3937.29, 3873.63, 3919.29
03/13/23, 3835.12, 3905.05, 3808.86, 3855.76
03/10/23, 3912.77, 3934.05, 3846.32, 3861.59
03/09/23, 3998.66, 4017.81, 3908.70, 3918.32
03/08/23, 3987.55, 4000.41, 3969.76, 3992.01
03/07/23, 4048.26, 4050.00, 3980.31, 3986.37
03/06/23, 4055.15, 4078.49, 4044.61, 4048.42
03/03/23, 3998.02, 4048.29, 3995.17, 4045.64
03/02/23, 3938.68, 3990.84, 3928.16, 3981.35
03/01/23, 3963.34, 3971.73, 3939.05, 3951.39
02/28/23, 3977.19, 3997.50, 3968.98, 3970.15
02/27/23, 3992.36, 4018.05, 3973.55, 3982.24
02/24/23, 3973.24, 3978.25, 3943.08, 3970.04
02/23/23, 4018.60, 4028.30, 3969.19, 4012.32
02/22/23, 4001.83, 4017.37, 3976.90, 3991.05
02/21/23, 4052.35, 4052.35, 3995.19, 3997.34
02/17/23, 4077.73, 4081.51, 4047.95, 4079.09
02/16/23, 4114.75, 4136.54, 4089.49, 4090.41
02/15/23, 4119.50, 4148.11, 4103.98, 4147.60
02/14/23, 4126.70, 4159.77, 4095.01, 4136.13
02/13/23, 4096.62, 4138.90, 4092.67, 4137.29
02/10/23, 4068.92, 4094.36, 4060.79, 4090.46
02/09/23, 4144.25, 4156.23, 4069.67, 4081.50
02/08/23, 4153.47, 4156.85, 4111.67, 4117.86
02/07/23, 4105.35, 4176.54, 4088.39, 4164.00
02/06/23, 4119.57, 4124.63, 4093.38, 4111.08
02/03/23, 4136.69, 4182.36, 4123.36, 4136.48
02/02/23, 4158.68, 4195.44, 4141.88, 4179.76
02/01/23, 4070.07, 4148.95, 4037.20, 4119.21
01/31/23, 4020.85, 4077.16, 4020.44, 4076.60
01/30/23, 4049.27, 4063.85, 4015.55, 4017.77
01/27/23, 4053.72, 4094.21, 4048.70, 4070.56
01/26/23, 4036.08, 4061.57, 4013.29, 4060.43
01/25/23, 3982.71, 4019.55, 3949.06, 4016.22
01/24/23, 4001.74, 4023.92, 3989.79, 4016.95
01/23/23, 3978.14, 4039.31, 3971.64, 4019.81
01/20/23, 3909.04, 3972.96, 3897.86, 3972.61
01/19/23, 3911.84, 3922.94, 3885.54, 3898.85
01/18/23, 4002.25, 4014.16, 3926.59, 3928.86
01/17/23, 3999.28, 4015.39, 3984.57, 3990.97
01/13/23, 3960.32, 4003.95, 3947.67, 3999.09
01/12/23, 3977.57, 3997.76, 3937.56, 3983.17
01/11/23, 3932.35, 3970.07, 3928.54, 3969.61
01/10/23, 3888.57, 3919.83, 3877.29, 3919.25
01/09/23, 3910.82, 3950.57, 3890.42, 3892.09
01/06/23, 3823.37, 3906.19, 3809.56, 3895.08
01/05/23, 3839.74, 3839.74, 3802.42, 3808.10
01/04/23, 3840.36, 3873.16, 3815.77, 3852.97
01/03/23, 3853.29, 3878.46, 3794.33, 3824.14
12/30/22, 3828.85, 3839.85, 3800.34, 3839.50
12/29/22, 3805.45, 3858.19, 3805.45, 3849.28
12/28/22, 3829.56, 3848.32, 3780.78, 3783.22
12/27/22, 3843.34, 3846.65, 3813.22, 3829.25
12/23/22, 3813.11, 3845.80, 3797.01, 3844.82
12/22/22, 3853.26, 3853.26, 3764.49, 3822.39
12/21/22, 3839.49, 3889.82, 3839.49, 3878.44
12/20/22, 3810.47, 3838.24, 3795.62, 3821.62
12/19/22, 3853.79, 3854.86, 3800.04, 3817.66
12/16/22, 3890.91, 3890.91, 3827.91, 3852.36
12/15/22, 3958.37, 3958.37, 3879.45, 3895.75
12/14/22, 4015.54, 4053.76, 3965.65, 3995.32
12/13/22, 4069.38, 4100.96, 3993.03, 4019.65
12/12/22, 3939.29, 3990.71, 3935.30, 3990.56
12/09/22, 3954.17, 3977.02, 3933.04, 3934.38
12/08/22, 3947.79, 3974.19, 3935.83, 3963.51
12/07/22, 3933.28, 3957.57, 3922.68, 3933.92
12/06/22, 3996.63, 4001.51, 3918.39, 3941.26
12/05/22, 4052.02, 4052.45, 3984.49, 3998.84
12/02/22, 4040.17, 4080.48, 4026.63, 4071.70
12/01/22, 4087.14, 4100.51, 4050.87, 4076.57
11/30/22, 3957.18, 4080.11, 3938.58, 4080.11
11/29/22, 3964.19, 3976.77, 3937.65, 3957.63
11/28/22, 4005.36, 4012.27, 3955.77, 3963.94
11/25/22, 4023.34, 4034.02, 4020.76, 4026.12
11/23/22, 4001.02, 4033.78, 3998.66, 4027.26
11/22/22, 3965.51, 4005.88, 3956.88, 4003.58
11/21/22, 3956.23, 3962.00, 3933.34, 3949.94
11/18/22, 3966.39, 3979.89, 3935.98, 3965.34
11/17/22, 3919.26, 3954.33, 3906.54, 3946.56
11/16/22, 3976.82, 3983.09, 3954.34, 3958.79
11/15/22, 4006.41, 4028.84, 3953.17, 3991.73
11/14/22, 3977.97, 4008.97, 3956.40, 3957.25
11/11/22, 3963.72, 4001.48, 3944.82, 3992.93
11/10/22, 3859.89, 3958.33, 3859.89, 3956.37
11/09/22, 3810.94, 3818.20, 3744.22, 3748.57
11/08/22, 3817.02, 3859.40, 3786.28, 3828.11
11/07/22, 3780.71, 3813.95, 3764.70, 3806.80
11/04/22, 3766.98, 3796.34, 3708.84, 3770.55
11/03/22, 3733.25, 3750.59, 3698.15, 3719.89
11/02/22, 3852.90, 3894.44, 3758.68, 3759.69
11/01/22, 3901.79, 3911.79, 3843.80, 3856.10
10/31/22, 3881.85, 3893.73, 3863.18, 3871.98
10/28/22, 3808.26, 3905.42, 3808.26, 3901.06
10/27/22, 3834.69, 3859.95, 3803.79, 3807.30
10/26/22, 3825.97, 3886.15, 3824.07, 3830.60
10/25/22, 3799.44, 3862.85, 3799.44, 3859.11
10/24/22, 3762.01, 3810.74, 3741.65, 3797.34
10/21/22, 3657.10, 3757.89, 3647.42, 3752.75
10/20/22, 3689.05, 3736.00, 3656.44, 3665.78
10/19/22, 3703.11, 3728.58, 3666.51, 3695.16
10/18/22, 3746.26, 3762.79, 3686.53, 3719.98
10/17/22, 3638.65, 3689.73, 3638.65, 3677.95
10/14/22, 3690.41, 3712.00, 3579.68, 3583.07
10/13/22, 3520.37, 3685.41, 3491.58, 3669.91
10/12/22, 3590.83, 3608.34, 3573.86, 3577.03
10/11/22, 3595.86, 3640.66, 3568.45, 3588.84
10/10/22, 3647.51, 3652.17, 3588.10, 3612.39
10/07/22, 3706.74, 3706.74, 3620.73, 3639.66
10/06/22, 3771.97, 3797.93, 3739.22, 3744.52
10/05/22, 3753.25, 3806.91, 3722.66, 3783.28
10/04/22, 3726.46, 3791.92, 3726.46, 3790.93
10/03/22, 3609.78, 3698.35, 3604.93, 3678.43
09/30/22, 3633.48, 3671.44, 3584.13, 3585.62
09/29/22, 3687.01, 3687.01, 3610.40, 3640.47
09/28/22, 3651.94, 3736.74, 3640.61, 3719.04
09/27/22, 3686.44, 3717.53, 3623.29, 3647.29
09/26/22, 3682.72, 3715.67, 3644.76, 3655.04
