Date,Open,Close
2019-07,25879.38,26428.32
2019-08,25342.99,25812.88
2019-09,24120.78,25383.11
2019-10,21227.38,24345.72
2019-11,25590.51,21917.16
2019-12,28319.65,25409.36
2020-01,28638.97,28256.03
2020-02,28109.74,28538.44
2020-03,27142.95,28051.41
2020-04,26962.54,27046.23
2020-05,26198.26,26916.83
2020-06,26879.86,26403.28
2020-07,26805.86,26864.27
